price,bedrooms,bathrooms,floors,waterfront,view,condition
313000.0,3.0,1.5,1.5,0,0,3
2384000.0,5.0,2.5,2.0,0,4,5
342000.0,3.0,2.0,1.0,0,0,4
420000.0,3.0,2.25,1.0,0,0,4
550000.0,4.0,2.5,1.0,0,0,4
490000.0,2.0,1.0,1.0,0,0,3
335000.0,2.0,2.0,1.0,0,0,3
482000.0,4.0,2.5,2.0,0,0,3
452500.0,3.0,2.5,1.0,0,0,4
640000.0,4.0,2.0,1.5,0,0,3
463000.0,3.0,1.75,1.0,0,0,3
1400000.0,4.0,2.5,1.5,0,0,5
588500.0,3.0,1.75,1.0,0,0,3
365000.0,3.0,1.0,1.0,0,0,4
1200000.0,5.0,2.75,1.5,0,0,3
242500.0,3.0,1.5,1.0,0,0,4
419000.0,3.0,1.5,1.0,0,0,4
367500.0,4.0,3.0,2.0,0,0,3
257950.0,3.0,1.75,1.0,0,0,3
275000.0,3.0,1.5,1.0,0,0,3
750000.0,3.0,1.75,2.0,0,0,5
435000.0,4.0,1.0,1.0,0,0,4
626000.0,3.0,2.25,2.5,0,0,3
612500.0,4.0,2.5,2.0,0,0,3
495000.0,4.0,1.75,1.0,0,0,3
285000.0,3.0,2.5,1.0,0,0,4
615000.0,3.0,1.75,1.0,0,0,4
698000.0,4.0,2.25,1.5,0,0,5
675000.0,5.0,2.5,2.0,0,0,3
790000.0,3.0,2.5,1.0,0,0,4
382500.0,4.0,1.75,1.0,0,0,4
499950.0,4.0,2.5,2.0,0,0,3
650000.0,4.0,2.0,1.5,0,1,3
625000.0,4.0,2.5,2.0,0,0,3
400000.0,4.0,2.5,1.5,0,0,3
604000.0,3.0,2.5,2.0,0,2,3
440000.0,2.0,1.0,1.0,0,0,4
287200.0,3.0,3.0,1.0,0,0,4
403000.0,3.0,2.0,1.0,0,2,5
750000.0,3.0,2.5,1.0,0,2,4
335000.0,3.0,2.25,1.0,0,0,4
260000.0,4.0,2.0,1.0,0,0,4
308500.0,2.0,1.0,1.0,0,0,4
439950.0,3.0,2.5,2.0,0,0,3
235000.0,2.0,1.0,1.0,0,0,2
315000.0,3.0,1.0,1.0,0,0,3
437500.0,3.0,2.25,2.0,0,0,4
407500.0,3.0,2.5,2.0,0,0,3
445700.0,3.0,2.5,3.0,0,0,3
838000.0,4.0,2.5,2.0,0,0,3
630000.0,4.0,2.75,2.0,0,0,3
550000.0,3.0,1.75,1.5,0,0,3
805000.0,3.0,2.0,1.5,0,0,4
284000.0,3.0,1.75,1.0,0,0,3
470000.0,5.0,2.5,1.0,0,0,3
430000.0,4.0,1.5,1.0,0,0,4
491500.0,4.0,1.75,1.0,0,2,3
785000.0,5.0,3.25,2.0,0,2,3
385000.0,3.0,3.25,2.0,0,0,3
295000.0,2.0,2.5,2.0,0,0,3
555000.0,4.0,2.5,2.0,0,0,3
459990.0,3.0,2.5,2.0,0,0,3
625000.0,4.0,3.25,1.0,0,0,3
300000.0,3.0,2.5,2.0,0,0,3
625000.0,4.0,2.75,2.0,0,0,3
553000.0,2.0,1.0,1.0,0,0,3
379880.0,3.0,2.5,1.0,0,0,4
310000.0,3.0,1.0,1.0,0,0,4
775000.0,2.0,2.5,1.0,0,0,3
365000.0,3.0,2.5,1.0,0,0,5
331950.0,4.0,2.5,2.0,0,2,3
783500.0,3.0,2.5,2.0,0,0,3
628000.0,4.0,2.0,1.0,0,0,3
560000.0,3.0,2.5,2.0,0,0,3
900000.0,3.0,1.0,1.0,0,0,3
531000.0,2.0,3.0,2.0,0,0,3
831000.0,4.0,3.0,2.0,0,0,4
780000.0,4.0,2.5,2.0,0,2,3
755000.0,4.0,2.5,1.0,0,0,4
705380.0,3.0,2.5,2.0,0,0,3
627000.0,4.0,2.25,1.0,0,0,3
865000.0,4.0,3.0,2.0,0,0,3
